Date,Close,High,Low,Open,Volume
,IRFC.NS,IRFC.NS,IRFC.NS,IRFC.NS,IRFC.NS
2025-01-14,134.7062530517578,135.65033661079283,128.91254088454824,129.19079677218366,30467846
2025-01-15,136.7037353515625,139.62543732027441,133.9708531264326,139.62543732027441,34455125
2025-01-16,142.08999633789062,144.84275832341996,138.33352670048055,139.1285500190655,45555802
2025-01-17,145.28001403808594,145.98558601180565,141.01670949453782,142.0899886419246,30934225
2025-01-20,145.78683471679688,147.6948814893632,143.91854744830093,146.5421136560556,32579099
2025-01-21,141.503662109375,145.68746272789352,140.48007477976307,145.68746272789352,21897756
2025-01-22,139.37698364257812,141.86142185367578,135.85902580773913,141.61297803256602,19198201
2025-01-23,140.49000549316406,143.50114335728318,137.2503035621184,138.134762948546,17671282
2025-01-24,139.80430603027344,142.28874435322092,138.13477075588062,140.71859267726927,15843304
2025-01-27,136.19691467285156,138.3235933140905,134.9646277805809,138.13477357148847,15984361
2025-01-28,136.96212768554688,139.31737044134462,133.88141799746177,137.14099997209973,23224966
2025-01-29,140.84776306152344,141.36453044151656,137.58818142859514,137.83662524307937,19560159
2025-01-30,147.30731201171875,148.27127528897947,140.9670357568032,141.91111928172023,40194969
2025-01-31,150.0004425048828,151.62030105630896,145.34956633052724,148.2513883152279,50647026
2025-02-01,140.34095764160156,154.55194833140553,138.28383536646453,150.95447121452665,76893891
2025-02-03,135.9882049560547,138.37327471371412,132.61930738123968,136.4850925934245,36236290
2025-02-04,136.9819793701172,139.32728961031904,135.25282010777147,139.12853758938135,21695745
2025-02-05,137.07142639160156,139.22793223966363,136.64411027083716,137.12111819173444,13087044
2025-02-06,135.46151733398438,137.83663984552214,134.7559453178327,137.07142856997817,11527600
2025-02-07,132.59942626953125,135.35218799818523,132.17211018440457,135.14350368436288,16860473
2025-02-10,130.2342529296875,133.66277459852387,129.80692167590274,132.6689993226984,13464523
2025-02-11,125.4641342163086,130.83051488162155,124.71880272591467,130.52244695846804,20569801
2025-02-12,124.56973266601562,126.30883944558637,118.547456758397,125.2156881290941,36495363
2025-02-13,125.78214263916016,127.99826495095547,124.56973552900429,124.81817936036724,15469045
2025-02-14,120.99214172363281,127.15354549733145,120.24681025510941,126.40821402880805,18631299
2025-02-17,121.02195739746094,122.06542451743796,117.14623212856573,119.96855798324323,22536906
2025-02-18,118.52758026123047,121.42940998678789,117.11642111242831,121.0418382146789,17608523
2025-02-19,123.49645233154297,125.05667923835856,116.48040118880456,117.46423660599305,33285812
2025-02-20,124.00328063964844,125.19581554800939,121.63809815668348,122.920069202672,13856925
2025-02-21,124.33123016357422,126.80572857294857,122.96975525366261,124.02316224238778,25318595
2025-02-24,122.7014389038086,124.37098173012988,121.73747563870766,123.61571037058113,13838044
2025-02-25,122.49274444580078,124.58961091557919,122.0455410158757,122.63187237993647,13266198
2025-02-27,119.61079406738281,123.22813550301582,118.75614671459992,122.7312478598585,18748431
2025-02-28,111.72021484375,118.68658165989137,111.00469543105768,118.24931811171193,28927630
2025-03-03,110.43824768066406,115.13880824193356,107.36748560624302,112.28667036732865,42918659
2025-03-04,113.876708984375,114.63198034191848,109.31528395676565,110.50781129444154,42337061
2025-03-05,116.9971694946289,117.59343315870474,113.94627962456883,114.38353560120905,21555437
2025-03-06,119.83936309814453,120.62444651666024,118.0605119340807,118.76609150674327,23206624
2025-03-07,122.65174865722656,124.21197561248798,119.15366285310367,120.23687431685086,31222210
2025-03-10,119.00459289550781,124.63929706096594,117.71268196492446,123.32751396029997,21456437
2025-03-11,118.5573959350586,119.84929927169154,115.8443860388929,117.26548501652182,17046285
2025-03-12,118.45801544189453,120.44556608744244,117.2853602577451,119.45179076466849,13097183
2025-03-13,116.9574203491211,119.25303892216346,116.27171294910936,118.69652716673598,11472966
2025-03-17,118.03069305419922,118.97478417041017,116.87791760963202,117.27542925951536,13318439
2025-03-18,118.03069305419922,118.03069305419922,118.03069305419922,118.03069305419922,0
2025-03-19,127.31255340576172,127.70012516351893,121.48902958163572,121.73747340491104,28681078
2025-03-20,127.72000885009766,131.0292824977354,127.20324143589806,129.68767974519295,28721000
2025-03-21,129.66000366210938,130.60000610351562,127.0,128.0,18904126
2025-03-24,132.8000030517578,134.60000610351562,130.5,130.6999969482422,25775174
2025-03-25,129.41000366210938,134.3800048828125,128.86000061035156,134.10000610351562,24206199
2025-03-26,128.38999938964844,131.33999633789062,127.05000305175781,129.9499969482422,23494814
2025-03-27,124.33999633789062,129.19000244140625,123.69000244140625,127.48999786376953,25596858
2025-03-28,124.41999816894531,129.1999969482422,124.0,125.94999694824219,22400674
2025-04-01,124.37999725341797,125.20999908447266,122.36000061035156,122.80999755859375,17763188
2025-04-02,127.4800033569336,127.79000091552734,122.5,124.75,15024892
2025-04-03,129.16000366210938,129.5,125.16000366210938,125.19999694824219,16348518
2025-04-04,124.83999633789062,128.7100067138672,124.0999984741211,127.62000274658203,15394108
2025-04-07,122.41999816894531,124.05000305175781,113.0,113.0,23552525
2025-04-08,124.41000366210938,126.69000244140625,123.19999694824219,126.5,12601581
2025-04-09,123.05999755859375,124.69000244140625,122.5,124.4000015258789,9175006
2025-04-11,124.11000061035156,126.4000015258789,123.4000015258789,126.0,9778310
2025-04-15,128.27000427246094,128.5,125.0,125.79000091552734,14463246
2025-04-16,129.05999755859375,129.94000244140625,128.02000427246094,129.0,14424393
2025-04-17,129.47999572753906,131.0,128.16000366210938,129.99000549316406,18564617
2025-04-21,131.42999267578125,132.10000610351562,128.5800018310547,130.0,15830027
2025-04-22,132.30999755859375,133.5,130.50999450683594,132.14999389648438,14637811
2025-04-23,134.36000061035156,135.11000061035156,129.22999572753906,133.0,27531889
2025-04-24,133.4199981689453,137.66000366210938,133.0,135.0,28862676
2025-04-25,128.8000030517578,134.13999938964844,126.22000122070312,133.49000549316406,30370205
2025-04-28,127.16999816894531,129.60000610351562,125.62999725341797,128.0,27138997
